,URL,contributor,excerpt
0,https://github.com/GoogleChrome/puppeteer,Allen Mao,"Puppeteer is a Node library which provides a high-level API to control Chrome or Chromium over the DevTools Protocol. Puppeteer runs headless by default, but can be configured to run full (non-headless) Chrome or Chromium."
1,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"The major contributors of this repository include Xiao Sun, Chuankang Li, Bin Xiao, Fangyin Wei, Yichen Wei."
2,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Integral Regression is initially described in an ECCV 2018 paper. (Slides).
3,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"We build a 3D pose estimation system based mainly on the Integral Regression, placing second in the ECCV2018 3D Human Pose Estimation Challenge. Note that, the winner Sarandi et al. also uses the Integral Regression (or soft-argmax) with a better augmented 3D dataset in their method indicating the Integral Regression is the currently state-of-the-art 3D human pose estimation method."
4,https://github.com/JimmySuen/integral-human-pose,Allen Mao,The Integral Regression is also known as soft-argmax. Please refer to two contemporary works (Luvizon et al. and Nibali et al.) for a better comparision and more comprehensive understanding.
5,https://github.com/JimmySuen/integral-human-pose,Allen Mao,This is an official implementation for Integral Human Pose Regression based on Pytorch. It is worth noticing that:
6,https://github.com/JimmySuen/integral-human-pose,Allen Mao,The original implementation is based on our internal Mxnet version. There are slight differences in the final accuracy and running time due to the plenty details in platform switch.
7,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"LibGEOS is a LGPL-licensed package for manipulation and analysis of planar geometric objects, based on the libraries GEOS (the engine of PostGIS) and JTS (from which GEOS is ported)."
8,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"Among other things, it allows you to parse Well-known Text (WKT)"
9,https://github.com/LMescheder/GAN_stability,Allen Mao,This repository contains the experiments in the supplementary material for the paper Which Training Methods for GANs do actually Converge?.
10,https://github.com/LMescheder/GAN_stability,Allen Mao,"For the results presented in the paper, we did not use a moving average over the weights. However, using a moving average helps to reduce noise and we therefore recommend its usage. Indeed, we found that using a moving average leads to much better inception scores on Imagenet."
11,https://github.com/LMescheder/GAN_stability,Allen Mao,"Batch normalization is currently not supported when using an exponential running average, as the running average is only computed over the parameters of the models and not the other buffers of the model."
12,https://github.com/NSGeophysics/GPRPy,Allen Mao,Open-source Ground Penetrating Radar processing and visualization software.
13,https://github.com/NVIDIA/vid2vid,Allen Mao,"Pytorch implementation for high-resolution (e.g., 2048x1024) photorealistic video-to-video translation. It can be used for turning semantic label maps into photo-realistic videos, synthesizing people talking from edge maps, or generating human motions from poses. The core of video-to-video translation is image-to-image translation. Some of our work in that space can be found in pix2pixHD and SPADE. "
14,https://github.com/OpenGeoVis/PVGeo,Allen Mao,The PVGeo Python package contains VTK powered tools for data visualization in geophysics which are wrapped for direct use within the application ParaView by Kitware or in a Python environment with PyVista. These tools are tailored to data visualization in the geosciences with a heavy focus on structured data sets like 2D or 3D time-varying grids.
15,https://github.com/OpenGeoVis/omfvista,Allen Mao,A PyVista (and VTK) interface for the Open Mining Format package (omf) providing Python 3D visualization and useable mesh data structures for processing datasets in the OMF specification.
16,https://github.com/OpenGeoscience/geonotebook/,Allen Mao,"GeoNotebook is an application that provides client/server environment with interactive visualization and analysis capabilities using Jupyter, GeoJS and other open source tools. Jointly developed by Kitware and NASA Ames."
17,https://github.com/Toblerity/Fiona/,Allen Mao,Fiona is OGR's neat and nimble API for Python programmers.
18,https://github.com/Toblerity/Fiona/,Allen Mao,"Fiona is designed to be simple and dependable. It focuses on reading and writing data in standard Python IO style and relies upon familiar Python types and protocols such as files, dictionaries, mappings, and iterators instead of classes specific to OGR. Fiona can read and write real-world data using multi-layered GIS formats and zipped virtual file systems and integrates readily with other Python GIS packages such as pyproj, Rtree, and Shapely. Fiona is supported only on CPython versions 2.7 and 3.4+."
19,https://github.com/Toblerity/Shapely,Allen Mao,"Shapely is a BSD-licensed Python package for manipulation and analysis of planar geometric objects. It is based on the widely deployed GEOS (the engine of PostGIS) and JTS (from which GEOS is ported) libraries. Shapely is not concerned with data formats or coordinate systems, but can be readily integrated with packages that are."
20,https://github.com/XiaLiPKU/RESCAN,Allen Mao,"Rain streaks can severely degrade the visibility, which causes many current computer vision algorithms fail to work. So it is necessary to remove the rain from images. We propose a novel deep network architecture based on deep convolutional and recurrent neural networks for single image deraining. As contextual information is very important for rain removal, we first adopt the dilated convolutional neural network to acquire large receptive field. To better fit the rain removal task, we also modify the network. In heavy rain, rain streaks have various directions and shapes, which can be regarded as the accumulation of multiple rain streak layers. We assign different alpha-values to various rain streak layers according to the intensity and transparency by incorporating the squeeze-and-excitation block. Since rain streak layers overlap with each other, it is not easy to remove the rain in one stage. So we further decompose the rain removal into multiple stages. Recurrent neural network is incorporated to preserve the useful information in previous stages and benefit the rain removal in later stages. We conduct extensive experiments on both synthetic and real-world datasets. Our proposed method outperforms the state-of-the-art approaches under all evaluation metrics."
21,https://github.com/ZhouYanzhao/PRM,Allen Mao,The pytorch branch contains:
22,https://github.com/ZhouYanzhao/PRM,Allen Mao,the pytorch implementation of Peak Response Mapping (Stimulation and Backprop).
23,https://github.com/ZhouYanzhao/PRM,Allen Mao,"the PASCAL-VOC demo (training, inference, and visualization)."
24,https://github.com/agile-geoscience/striplog/,Allen Mao,Lithology and stratigraphic logs for wells and outcrop.
25,https://github.com/akaszynski/pyansys,Allen Mao,This Python module allows you to:
26,https://github.com/akaszynski/pyansys,Allen Mao,"Interactively control an instance of ANSYS v14.5 + using Python on Linux, >=17.0 on Windows."
27,https://github.com/akaszynski/pyansys,Allen Mao,Extract data directly from binary ANSYS v14.5+ files and to display or animate them.
28,https://github.com/akaszynski/pyansys,Allen Mao,"Rapidly read in binary result (.rst), binary mass and stiffness (.full), and ASCII block archive (.cdb) files."
29,https://github.com/albertpumarola/GANimation,Allen Mao,"Official implementation of GANimation. In this work we introduce a novel GAN conditioning scheme based on Action Units (AU) annotations, which describe in a continuous manifold the anatomical facial movements defining a human expression. Our approach permits controlling the magnitude of activation of each AU and combine several of them. For more information please refer to the paper."
30,https://github.com/albertpumarola/GANimation,Allen Mao,This code was made public to share our research for the benefit of the scientific community. Do NOT use it for immoral purposes.
31,https://github.com/cgre-aachen/gempy,Allen Mao,What is it
32,https://github.com/cgre-aachen/gempy,Allen Mao,"GemPy is a Python-based, open-source library for implicitly generating 3D structural geological models. It is capable of constructing complex 3D geological models of folded structures, fault networks and unconformities. It was designed from the ground up to support easy embedding in probabilistic frameworks for the uncertainty analysis of subsurface structures."
33,https://github.com/cgre-aachen/gempy,Allen Mao,Features
34,https://github.com/cgre-aachen/gempy,Allen Mao,The core algorithm of GemPy is based on a universal cokriging interpolation method devised by Lajaunie et al. (1997) and extended by Calcagno et al. (2008). Its implicit nature allows the user to automatically generate complex 3D structural geological models through the interpolation of input data:
35,https://github.com/cgre-aachen/gempy,Allen Mao,"Surface contact points: 3D coordinates of points marking the boundaries between different features (e.g. layer interfaces, fault planes, unconformities)."
36,https://github.com/cgre-aachen/gempy,Allen Mao,Orientation measurements: Orientation of the poles perpendicular to the dipping of surfaces at any point in the 3D space.
37,https://github.com/cgre-aachen/gempy,Allen Mao,GemPy also allows for the definition of topological elements such as combining multiple stratigraphic sequences and complex fault networks to be considered in the modeling process.
38,https://github.com/cgre-aachen/gempy,Allen Mao,"GemPy itself offers direct visualization of 2D model sections via matplotlib and in full, interactive 3D using the Visualization Toolkit (VTK). The VTK support also allow to the real time maniulation of the 3-D model, allowing for the exact modification of data. Models can also easily be exportes in VTK file format for further visualization and processing in other software such as ParaView."
39,https://github.com/cgre-aachen/gempy,Allen Mao,"GemPy was designed from the beginning to support stochastic geological modeling for uncertainty analysis (e.g. Monte Carlo simulations, Bayesian inference). This was achieved by writing GemPy's core architecture using the numerical computation library Theano to couple it with the probabilistic programming framework PyMC3. This enables the use of advanced sampling methods (e.g. Hamiltonian Monte Carlo) and is of particular relevance when considering uncertainties in the model input data and making use of additional secondary information in a Bayesian inference framework."
40,https://github.com/cgre-aachen/gempy,Allen Mao,"We can, for example, include uncertainties with respect to the z-position of layer boundaries in the model space. Simple Monte Carlo simulation via PyMC will then result in different model realizations:"
41,https://github.com/cgre-aachen/gempy,Allen Mao,"Theano allows the automated computation of gradients opening the door to the use of advanced gradient-based sampling methods coupling GeMpy and PyMC3 for advanced stochastic modeling. Also, the use of Theano allows making use of GPUs through cuda (see the Theano documentation for more information."
42,https://github.com/cgre-aachen/gempy,Allen Mao,Making use of vtk interactivity and Qgrid (https://github.com/quantopian/qgrid) GemPy provides a functional interface to interact with input data and models.
43,https://github.com/cgre-aachen/gempy,Allen Mao,Sandbox
44,https://github.com/cgre-aachen/gempy,Allen Mao,"New developments in the field of augmented reality, i.e. the superimposition of real and digital objects, offer interesting and diverse possibilities that have hardly been exploited to date. The aim of the project is therefore the development and realization of an augmented reality sandbox for interaction with geoscientific data and models. In this project, methods are to be developed to project geoscientific data (such as the outcrop of a geological layer surface or geophysical measurement data) onto real surfaces."
