,URL,contributor,excerpt
0,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Usage
1,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"We have placed some example config files in experiments folder, and you can use them straight forward. Don't modify them unless you know exactly what it means."
2,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Train
3,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"For Integral Human Pose Regression, cd to pytorch_projects/integral_human_pose"
4,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Integral Regression
5,https://github.com/JimmySuen/integral-human-pose,Allen Mao,python train.py --cfg=experiments/hm36/resnet50v1_ft/d-mh_ps-256_deconv256x3_min-int-l1_adam_bs32-4gpus_x300-270-290/lr1e-3.yaml --dataroot=../../data/
6,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Direct Joint Regression
7,https://github.com/JimmySuen/integral-human-pose,Allen Mao,python train.py --cfg=experiments/hm36/resnet50v1_ft/d-mh_ps-256_dj_l1_adam_bs32-4gpus_x140-90-120/lr1e-3.yaml --dataroot=../../data/
8,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"For 3D pose estimation system of ECCV18 Challenge, cd to pytorch_projects/hm36_challenge"
9,https://github.com/JimmySuen/integral-human-pose,Allen Mao,python train.py --cfg=experiments/hm36/resnet152v1_ft/d-mh_ps-256_deconv256x3_min-int-l1_adam_bs24-4gpus_x300-270-290/lr1e-3.yaml --dataroot=../../data/
10,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"By default, logging and model will be saved to log and output folder respectively."
11,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Test
12,https://github.com/JimmySuen/integral-human-pose,Allen Mao,To run evaluation on CHALL_H80K Val dataset
13,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Download model
14,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Place it under $project_root/model/hm36_challenge
15,https://github.com/JimmySuen/integral-human-pose,Allen Mao,cd to $project_root/pytorch_projects/hm36_challenge
16,https://github.com/JimmySuen/integral-human-pose,Allen Mao,execute command below
17,https://github.com/JimmySuen/integral-human-pose,Allen Mao,python test.py --cfg experiments/hm36/resnet152v1_ft/d-mch_384x288_deconv256x3_min-int-l1_adam_bs12-4gpus/lr1e-4_x300-27
18,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"p1 = readgeom(""POLYGON((0 0,1 0,1 1,0 0))"")"
19,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"p2 = readgeom(""POLYGON((0 0,1 0,1 1,0 1,0 0))"")"
20,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"p3 = readgeom(""POLYGON((2 0,3 0,3 1,2 1,2 0))"")"
21,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"g1 = buffer(p1, 0.5)"
22,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"g2 = buffer(p2, 0.5)"
23,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"g3 = buffer(p3, 0.5)"
24,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"polygon = LibGEOS.union(g1, g3)"
25,https://github.com/LMescheder/GAN_stability,Allen Mao,First download your data and put it into the ./data folder.
26,https://github.com/LMescheder/GAN_stability,Allen Mao,"To train a new model, first create a config script similar to the ones provided in the ./configs folder. You can then train you model using"
27,https://github.com/LMescheder/GAN_stability,Allen Mao,python train.py PATH_TO_CONFIG
28,https://github.com/LMescheder/GAN_stability,Allen Mao,"To compute the inception score for your model and generate samples, use"
29,https://github.com/LMescheder/GAN_stability,Allen Mao,python test.py PATH_TO_CONIFG
30,https://github.com/LMescheder/GAN_stability,Allen Mao,"Finally, you can create nice latent space interpolations using"
31,https://github.com/LMescheder/GAN_stability,Allen Mao,python interpolate.py PATH_TO_CONFIG
32,https://github.com/LMescheder/GAN_stability,Allen Mao,or
33,https://github.com/LMescheder/GAN_stability,Allen Mao,python interpolate_class.py PATH_TO_CONFIG
34,https://github.com/NSGeophysics/GPRPy,Allen Mao,Running the software
35,https://github.com/NSGeophysics/GPRPy,Allen Mao,"After installation, you can run the script from the Anaconda Prompt (or your Python-enabled prompt) by running either"
36,https://github.com/NSGeophysics/GPRPy,Allen Mao,gprpy
37,https://github.com/NSGeophysics/GPRPy,Allen Mao,python -m gprpy
38,https://github.com/NSGeophysics/GPRPy,Allen Mao,The first time you run GPRPy it could take a while to initialize. GPRPy will ask you if you want to run the profile [p] or WARR / CMP [c] user interface. Type
39,https://github.com/NSGeophysics/GPRPy,Allen Mao,p
40,https://github.com/NSGeophysics/GPRPy,Allen Mao,"and then enter for profile, or"
41,https://github.com/NSGeophysics/GPRPy,Allen Mao,c
42,https://github.com/NSGeophysics/GPRPy,Allen Mao,and then enter for CMP / WARR.
43,https://github.com/NSGeophysics/GPRPy,Allen Mao,You can also directly select one by running either
44,https://github.com/NSGeophysics/GPRPy,Allen Mao,gprpy p
45,https://github.com/NSGeophysics/GPRPy,Allen Mao,gprpy c
46,https://github.com/NSGeophysics/GPRPy,Allen Mao,python -m gprpy p
47,https://github.com/NSGeophysics/GPRPy,Allen Mao,python -m gprpy c
48,https://github.com/OpenGeoVis/PVGeo,Allen Mao,Now PVGeo is ready for use in your standard Python environment (2.7 or >=3.6) with all dependencies installed! Go ahead and test your install:
49,https://github.com/OpenGeoVis/PVGeo,Allen Mao,"python -c ""import PVGeo; print(PVGeo.__version__)"""
50,https://github.com/OpenGeoVis/omfvista,Allen Mao,Example Use
51,https://github.com/OpenGeoVis/omfvista,Allen Mao,Be sure to check out the Example Notebook that demos omfvista or our Example Gallery in the documentation! Here's an example using the sample data hosted in the OMF repository.
52,https://github.com/OpenGeoVis/omfvista,Allen Mao,import pyvista as pv
53,https://github.com/OpenGeoVis/omfvista,Allen Mao,import omfvista
54,https://github.com/OpenGeoVis/omfvista,Allen Mao,project = omfvista.load_project('test_file.omf')
55,https://github.com/OpenGeoVis/omfvista,Allen Mao,project
56,https://github.com/OpenGeoVis/omfvista,Allen Mao,"Once the data is loaded as a pyvista.MultiBlock dataset from omfvista, then that object can be directly used for interactive 3D visualization from PyVista:"
57,https://github.com/OpenGeoVis/omfvista,Allen Mao,project.plot(notebook=False)
58,https://github.com/OpenGeoVis/omfvista,Allen Mao,"Or an interactive scene can be created and manipulated to create a compelling figure directly in a Jupyter notebook. First, grab the elements from the project:"
59,https://github.com/OpenGeoVis/omfvista,Allen Mao,# Grab a few elements of interest and plot em up!
60,https://github.com/OpenGeoVis/omfvista,Allen Mao,vol = project['Block Model']
61,https://github.com/OpenGeoVis/omfvista,Allen Mao,assay = project['wolfpass_WP_assay']
62,https://github.com/OpenGeoVis/omfvista,Allen Mao,topo = project['Topography']
63,https://github.com/OpenGeoVis/omfvista,Allen Mao,dacite = project['Dacite']
64,https://github.com/OpenGeoVis/omfvista,Allen Mao,Then apply a filtering tool from PyVista to the volumetric data:
65,https://github.com/OpenGeoVis/omfvista,Allen Mao,thresher = pv.Threshold(vol)
66,https://github.com/OpenGeoVis/omfvista,Allen Mao,Then you can put it all in one environment!
67,https://github.com/OpenGeoVis/omfvista,Allen Mao,# Grab the active plotting window
68,https://github.com/OpenGeoVis/omfvista,Allen Mao,#  from the thresher tool
69,https://github.com/OpenGeoVis/omfvista,Allen Mao,p = thresher.plotter
70,https://github.com/OpenGeoVis/omfvista,Allen Mao,# Add our datasets
71,https://github.com/OpenGeoVis/omfvista,Allen Mao,"p.add_mesh(topo, cmap='gist_earth', opacity=0.5)"
72,https://github.com/OpenGeoVis/omfvista,Allen Mao,"p.add_mesh(assay, color='blue', line_width=3)"
73,https://github.com/OpenGeoVis/omfvista,Allen Mao,"p.add_mesh(dacite, color='yellow', opacity=0.6)"
74,https://github.com/OpenGeoVis/omfvista,Allen Mao,# Add the bounds axis
75,https://github.com/OpenGeoVis/omfvista,Allen Mao,p.show_bounds()
76,https://github.com/OpenGeoVis/omfvista,Allen Mao,"And once you like what the render view displays, you can save a screenshot:"
77,https://github.com/OpenGeoVis/omfvista,Allen Mao,p.screenshot('wolfpass.png')
78,https://github.com/OpenGeoscience/geonotebook/,Allen Mao,Run the notebook:
79,https://github.com/OpenGeoscience/geonotebook/,Allen Mao,cd notebooks/
80,https://github.com/OpenGeoscience/geonotebook/,Allen Mao,jupyter notebook
81,https://github.com/Toblerity/Fiona/,Allen Mao,Collections
82,https://github.com/Toblerity/Fiona/,Allen Mao,"Records are read from and written to file-like Collection objects returned from the fiona.open() function. Records are mappings modeled on the GeoJSON format. They don't have any spatial methods of their own, so if you want to do anything fancy with them you will probably need Shapely or something like it. Here is an example of using Fiona to read some records from one data file, change their geometry attributes, and write them to a new data file."
