URL,contributor,label,excerpt
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/3D-ResNets-PyTorch-README.md,Pratheek,Data Preparation,"If you want to classify your videos or extract video features of them using our pretrained models, use this code.
"
https://github.com/driving-behavior/DBNet,Pratheek,Data Preparation,"DBNet is a large-scale driving behavior dataset, which provides large-scale high-quality point clouds scanned by Velodyne lasers, high-resolution videos recorded by dashboard cameras and standard drivers' behaviors (vehicle speed, steering angle) collected by real-time sensors."
https://github.com/hezhangsprinter/DCPDN,Pratheek,Data Preparation,"We propose a new end-to-end single image dehazing method, called Densely Connected Pyramid Dehazing Network (DCPDN), which can jointly learn the transmission map, atmospheric light and dehazing all together"
https://github.com/hezhangsprinter/DID-MDN,Pratheek,Data Analysis,"We present a novel density-aware multi-stream densely connected convolutional neural network-based algorithm, called DID-MDN, for joint rain density estimation and de-raining."
https://github.com/foolwood/DaSiamRPN,Pratheek,Data Visualization,"SiamRPN formulates the task of visual tracking as a task of localization and identification simultaneously, initially described in an CVPR2018 spotlight paper. (Slides at CVPR 2018 Spotlight)"
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/DeepGuidedFilter-README.md,Pratheek,Data Preparation,"Given a reference image pair in high-resolution and low-resolution, our algorithm generates high-resolution target from the low-resolution input. "
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/DeepMVS-README.md,Pratheek,Data Analysis,DeepMVS is a Deep Convolutional Neural Network which learns to estimate pixel-wise disparity maps from a sequence of an arbitrary number of unordered images with the camera poses already known or estimated.
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/Detectron-README.md,Pratheek,Data Analysis,"Detectron is Facebook AI Research's software system that implements state-of-the-art object detection algorithms, including Mask R-CNN."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/Fiona-README.md,Pratheek,Data Preparation,"Fiona is designed to be simple and dependable. It focuses on reading and writing data in standard Python IO style and relies upon familiar Python types and protocols such as files, dictionaries, mappings, and iterators instead of classes specific to OGR. Fiona can read and write real-world data using multi-layered GIS formats and zipped virtual file systems and integrates readily with other Python GIS packages such as pyproj_, Rtree_, and Shapely_. Fiona is supported only on CPython versions 2.7 and 3.4+."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/Flow-Guided-Feature-Aggregation-README.md,Pratheek,Data Analysis,Flow-Guided Feature Aggregation (FGFA) is initially described in an ICCV 2017 paper. It provides an accurate and end-to-end learning framework for video object detection.
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/GAN_stability-README.md,Pratheek,Data Analysis,This repository contains the experiments in the supplementary material for the paper Which Training Methods for GANs do actually Converge?
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/GANimation-README.md,Pratheek,Data Analysis,"In this work we introduce a novel GAN conditioning scheme based on Action Units (AU) annotations, which describe in a continuous manifold the anatomical facial movements defining a human expression"
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/GPRPy-README.md,Pratheek,Data Preparation,Open-source Ground Penetrating Radar processing and visualization software.
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/ICNet-README.md,Pratheek,Data Analysis,ICNet for Real-Time Semantic Segmentation on High-Resolution Images
https://github.com/phoenix104104/LapSRN,Pratheek,Data Analysis,The Laplacian Pyramid Super-Resolution Network (LapSRN) is a progressive super-resolution model that super-resolves an low-resolution images in a coarse-to-fine Laplacian pyramid framework.
https://github.com/JuliaGeo/LibGEOS.jl,Ling Li,Data Analysis,LibGEOS is a package for manipulation and analysis of planar geometric objects
https://github.com/ZhouYanzhao/PRM,Ling Li,Data Visualization,The pytorch implementation of Peak Response Mapping (Stimulation and Backprop)
https://github.com/OpenGeoVis/PVGeo,Ling Li,Data Visualization,These tools are tailored to data visualization in the geosciences with a heavy focus on structured data sets like 2D or 3D time-varying grids.
https://github.com/yulunzhang/RDN,Ling Li,Data Analysis,we propose a novel residual dense network (RDN) to address this problem in image SR.
https://github.com/XiaLiPKU/RESCAN,Ling Li,Data Analysis,We propose a novel deep network architecture based on deep convolutional and recurrent neural networks for single image deraining.
https://github.com/jiangsutx/SRN-Deblur,Ling Li,Data Analysis,Deep Image Deblurring
https://github.com/Toblerity/Shapely,Ling Li,Data Analysis,Shapely is a BSD-licensed Python package for manipulation and analysis of planar geometric objects.
https://github.com/ondrolexa/apsg/tree/0.6.1,Ling Li,Data Visualization,analyze and visualize orientational structural geology data.
https://github.com/twbs/bootstrap/tree/v4-dev,Ling Li,Data Visualization,"Sleek, intuitive, and powerful front-end framework"
https://github.com/cltk/cltk/tree/master,Ling Li,Data Analysis,"compile analysis-friendly corpora;
collect and generate linguistic data;"
https://github.com/d3/d3,Ling Li,Data Visualization,D3 (or D3.js) is a JavaScript library for visualizing data using web standards.
https://github.com/rbgirshick/py-faster-rcnn,Ling Li,Data Preparation,"The aim is to improve the cross-domain robustness of object detection, in the screnario where training and test data are drawn from different distributions."
https://github.com/empymod,Ling Li,Data Preparation,"The electromagnetic modeller empymod can model electric or magnetic responses due to a three-dimensional electric or magnetic source in a layered-earth model with vertical transverse isotropic (VTI) resistivity, VTI electric permittivity, and VTI magnetic permeability, from very low frequencies (DC) to very high frequencies (GPR)."
https://github.com/facebookresearch/Densepose,Ling Li,Data Visualization,Dense human pose estimation aims at mapping all human pixels of an RGB image to the 3D surface of the human body.
facebookresearch-ResNeXt-README.md,Sharad,Data Analysis,"ResNeXt: Aggregated Residual Transformations for Deep Neural Networks (header)
This repository contains a Torch implementation for the ResNeXt algorithm for image classification."
facebookresearch-pyrobot-README.md,Sharad,Data Preparation,"PyRobot is a light weight, high-level interface which provides hardware independent APIs for robotic manipulation and navigation"
facebookresearch-wav2letter-README.md,Sharad,Data Analysis,The goal of this software is to facilitate research in end-to-end models for speech recognition.
gdal-docker-README.md,Sharad,Data Visualization,This is an Ubuntu derived image containing the Geospatial Data Abstraction Library (GDAL) compiled with a broad range of drivers.
gempy-README.md,Sharad,Data Visualization,"GemPy is a Python-based, open-source library for implicitly generating 3D structural geological models.
It is capable of constructing complex 3D geological models of folded structures, fault networks and unconformities"
generator-arcgis-js-app-README.md,Sharad,Data Preparation,This is a yeoman generator for ArcGIS API for JavaScript applications.
geojson-vt-README.md,Sharad,Data Visualization,"Created to power GeoJSON in Mapbox GL JS, but can be useful in other visualization platforms like Leaflet and d3, as well as Node.js server applications."
geonotebook-README.md,Sharad,Data Preparation,"GeoNotebook is an application that provides client/server environment with interactive visualization and analysis capabilities using Jupyter, GeoJS and other open source tools."
gitbucket-gitbucket-README.md,Sharad,Data Preparation,"The current version of GitBucket provides many features such as:

Public / Private Git repositories (with http/https and ssh access)
GitLFS support
Repository viewer including an online file editor
Issues, Pull Requests and Wiki for repositories
Activity timeline and email notifications
Account and group management with LDAP integration
a Plug-in system"
gitfolio-README.md,Sharad,Data Visualization,Gitfolio will help you get started with a portfolio website where you could showcase your work + a blog that will help you spread your ideas into real world.
gprMax-README.md,Sharad,Data Preparation,gprMax was designed for modelling Ground Penetrating Radar (GPR) but can also be used to model electromagnetic wave propagation for many other applications.
harismuneer-Ultimate-Facebook-Scraper-README.md,Sharad,Data Analysis,A bot which scrapes almost everything about a facebook user's profile including
hmr-README.md,Sharad,Data Visualization,"Images should be tightly cropped, where the height of the person is roughly 150px.
On images that are not tightly cropped, you can runopenpose and supply its output json (run it with --write_json option)."
