,URL,contributor,excerpt
0,https://github.com/GoogleChrome/puppeteer,Allen Mao,Installation
1,https://github.com/GoogleChrome/puppeteer,Allen Mao,"To use Puppeteer in your project, run:"
2,https://github.com/GoogleChrome/puppeteer,Allen Mao,npm i puppeteer
3,https://github.com/GoogleChrome/puppeteer,Allen Mao,"# or ""yarn add puppeteer"""
4,https://github.com/GoogleChrome/puppeteer,Allen Mao,puppeteer-core
5,https://github.com/GoogleChrome/puppeteer,Allen Mao,"Since version 1.7.0 we publish the puppeteer-core package, a version of Puppeteer that doesn't download Chromium by default."
6,https://github.com/GoogleChrome/puppeteer,Allen Mao,npm i puppeteer-core
7,https://github.com/GoogleChrome/puppeteer,Allen Mao,"# or ""yarn add puppeteer-core"""
8,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Environment
9,https://github.com/JimmySuen/integral-human-pose,Allen Mao,Python Version: 3.6
10,https://github.com/JimmySuen/integral-human-pose,Allen Mao,OS: CentOs7 (Other Linux system is also OK)
11,https://github.com/JimmySuen/integral-human-pose,Allen Mao,CUDA: 9.0 (least 8.0)
12,https://github.com/JimmySuen/integral-human-pose,Allen Mao,PyTorch:0.4.0(see issue https://github.com/JimmySuen/integral-human-pose/issues/4)
13,https://github.com/JimmySuen/integral-human-pose,Allen Mao,"We recommend installing python from Anaconda, installing pytorch following guide on PyTorch according to your specific CUDA & python version. In addition, you need to install dependencies below."
14,https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install scipy
15,https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install matplotlib
16,https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install opencv-python
17,https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install easydict
18,https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install pyyaml
19,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"At the Julia prompt, run"
20,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"julia> Pkg.add(""LibGEOS"")"
21,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"This will install both the Julia package and GEOS shared libraries together. To just reinstall the GEOS shared libraries, run Pkg.build(""LibGEOS"")."
22,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,Test that LibGEOS works by runnning
23,https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"julia> Pkg.test(""LibGEOS"")"
24,https://github.com/NSGeophysics/GPRPy,Allen Mao,Simplemost installation
25,https://github.com/NSGeophysics/GPRPy,Allen Mao,"In the following instructions, if you use Windows, use the comands python and pip. If you use Mac or Linux, use the commands python3 and pip3 instead."
26,https://github.com/NSGeophysics/GPRPy,Allen Mao,Download the GPRPy software from https://github.com/NSGeophysics/GPRPy/archive/master.zip.
27,https://github.com/NSGeophysics/GPRPy,Allen Mao,Save the file somewhere on your computer and extract the zip folder.
28,https://github.com/NSGeophysics/GPRPy,Allen Mao,"As an alternative, you can install git from https://git-scm.com/, then run in a command prompt:"
29,https://github.com/NSGeophysics/GPRPy,Allen Mao,git clone https://github.com/NSGeophysics/GPRPy.git
30,https://github.com/NSGeophysics/GPRPy,Allen Mao,The advantage of the latter is that you can easily update your software by running from the GPRPy folder in a command prompt:
31,https://github.com/NSGeophysics/GPRPy,Allen Mao,git pull origin master
